,title,link,address,gps
62,Pop X al Sanbapolis,http://www.trentotoday.it/eventi/popx-sanbapolis-2020.html,"Via della Malpensada - Trento, Trento, Italia","[46.046858, 11.134008]"
63,Weekend: tutti gli eventi in Trentino,http://www.trentotoday.it/eventi/weekend/cosa-fare-14-15-16-febbraio.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
64,Ciò che vedo: nuova figurazione italiana a Trento,http://www.trentotoday.it/eventi/nuova-figurazione-italia.html,"Via Rodolfo Belenzani - Trento, Trento, Italia","[46.068872, 11.121219]"
65,Minorenne denuncia violenza ma la rimandano a casa: protesta sotto la Questura,http://www.trentotoday.it/attualita/minorenne-denuncia-violenza-rifiutata.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
66,"Camion si incastra alla Pontara, strada bloccata",http://www.trentotoday.it/cronaca/incidente-stradale/pontara-chiusa-camion-bloccato.html,"Via della Pontara - Trento, Trento, Italia","[46.073366, 11.126909]"
67,Alle Gallerie di Piedicastello in mostra un secolo di filmati amatoriali,http://www.trentotoday.it/eventi/mostra-film-gallerie-piedicastello.html,"Vicolo di Piedicastello - Trento, Trento, Italia","[46.071059, 11.114491]"
68,Tamponamento tra camion sulla A22,http://www.trentotoday.it/cronaca/incidente-stradale/chiusa-tamponamento-camion.html,"Via Berlino - Trento, Trento, Italia","[46.07743, 11.109565]"
69,Il canto popolare: storie musicali di un passato presente,http://www.trentotoday.it/eventi/se-fossi-rondinella-bertoldi.html,"Via Tommaso Gar, 14 - Trento, Trento, Italia","[46.067458, 11.116889]"
70,"""Pareva 'na bella idea"": arriva la Filodrammatica di Viarago",http://www.trentotoday.it/eventi/pareva-na-bella-viarago.html,"Via per Belvedere, 4 - Trento, Trento, Italia","[46.038392, 11.107453]"
71,"""Fuori i gioielli!"", la commedia al teatro di Ravina",http://www.trentotoday.it/eventi/fuori-gioielli-doss-caslir-cembra.html,"Via per Belvedere 4 - Trento, Trento, Italia","[46.045, 11.1055]"
72,Auto contro furgone a Lavis: un ferito grave,http://www.trentotoday.it/cronaca/incidente-stradale/lavis-code-oggi.html,"Strada Provinciale 235 - Lavis, Trento, Italia","[46.156542, 11.07846]"
73,Arriva Salvini: le Sardine prenotano piazza D'Arogno,http://www.trentotoday.it/politica/salvini-trento-sardine-comunali.html,"Piazza Adamo d&#039;Arogno - Trento, Trento, Italia","[46.066711, 11.12146]"
74,"Meteo, previsioni per il weekend del 15/16 febbraio",http://www.trentotoday.it/meteo/previsioni-weekend-14-15-16-febbraio.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
